Price,Close,High,Low,Open,Volume
Ticker,ITC.NS,ITC.NS,ITC.NS,ITC.NS,ITC.NS
Date,,,,,
2021-05-24,166.26271057128906,166.6950711491929,163.3147907453518,164.69048915553992,29977506
2021-05-25,165.7910614013672,167.75634144556335,165.28008410532448,167.44189962819308,26310600
2021-05-26,165.55520629882812,167.00952135024505,165.31938118928798,166.498544108249,18253046
2021-05-27,165.98756408691406,168.34590234243421,165.31937842113737,165.86964530557506,49385674
2021-05-28,167.36328125,167.83494397127765,166.30203701285328,167.0488394358149,26583388
2021-05-31,170.27188110351562,171.2938231197057,168.54242639486318,169.0141015231714,75852502
2021-06-01,169.21060180664062,172.47297533017206,168.42449746013332,171.37241678797687,40247686
2021-06-02,164.29742431640625,167.00951892192145,163.98298253686687,165.4765996753088,100377464
2021-06-03,164.3367462158203,165.6731300670472,164.0615940750854,165.6731300670472,48454441
2021-06-04,164.10092163085938,164.84772406397616,163.51134010697308,164.6905031547457,31286264
2021-06-07,166.22340393066406,166.9702062799439,165.24076401546984,165.3979849070505,32643869
2021-06-08,167.95285034179688,168.424525485271,166.02688502956767,166.8129895068795,22080199
2021-06-09,167.04879760742188,168.81754171214214,166.26268081171185,168.22796034390205,25846432
2021-06-10,169.2904815673828,170.98905097269972,167.83456859632935,168.80516869885594,31902690
2021-06-11,168.15809631347656,170.2206374836206,168.03676810042165,170.09932208782885,22249404
2021-06-14,167.67279052734375,168.60295210008826,165.97422123736223,168.19852900953134,18358717
2021-06-15,167.47056579589844,168.56250681448503,167.4301273336581,167.87498887008837,15426377
2021-06-16,168.11767578125,169.33093240669035,167.47059618168782,167.47059618168782,20878518
2021-06-17,166.3382110595703,168.23899850929826,165.81247252045043,167.3897137723383,22304032
2021-06-18,165.448486328125,166.98528909758022,163.790368155021,166.62130443484187,24475206
2021-06-21,165.3675994873047,166.6212944546946,163.70946859625408,164.27565838175786,19809308
2021-06-22,165.8933563232422,166.82353085247783,165.28672800523807,166.7022026254241,18737552
2021-06-23,164.96319580078125,166.49999865910252,164.68010087470273,166.3382191436879,13059519
2021-06-24,164.39698791503906,165.5293674951364,163.8307981249904,165.36760081473153,23299321
2021-06-25,165.8529052734375,166.2977668607156,164.80141541416782,165.0036205657438,14411660
2021-06-28,164.6800994873047,166.5404357262528,164.4778815033724,166.5404357262528,15190488
2021-06-29,164.43743896484375,166.05511870995298,164.3161107409393,164.68009541265263,13839294
2021-06-30,163.9521484375,165.32717181490213,163.8308202065276,165.24629487243058,16556397
2021-07-01,164.19480895996094,164.84188865257283,163.5073036092229,164.11393200917593,10583793
2021-07-02,163.70948791503906,164.76097786194453,163.58815968707597,164.4374444655528,13187847
2021-07-05,164.7205352783203,165.08451995312015,163.95214027676212,164.19478390936425,10642939
2021-07-06,163.79037475585938,164.84186468403908,163.58815677376725,164.39700306760673,11515716
2021-07-07,164.80142211914062,165.97424024397768,163.6286039943036,163.79037068559862,18568033
2021-07-08,163.38595581054688,165.40805877988112,163.22418911107192,164.5992124652415,21730892
2021-07-09,162.86019897460938,163.66904526218303,162.4962271172863,163.38595034325868,12289809
2021-07-12,162.65798950195312,163.8308076157777,162.53666128030505,163.38594601457748,13589278
2021-07-13,163.26461791992188,163.5477128315662,162.8601947865351,163.3859461416643,11247522
2021-07-14,165.08453369140625,165.93381851935203,163.14330756545436,163.26463580048454,21269167
2021-07-15,166.8235321044922,168.64341707216278,164.11391107083816,165.3271677159519,29963443
2021-07-16,168.15809631347656,169.57357077034527,167.5919065307291,167.99632963515774,30137464
2021-07-19,168.0367889404297,169.45226357284628,166.9044092344964,167.2683939188027,17099088
