Date,Close,High,Low,Open,Volume
2021-05-24,168.24610900878906,168.85098434123026,163.88740157777664,166.14681535658218,22941220
2021-05-25,168.79759216308594,170.43433323433132,166.87620519186095,169.65154072156983,21199352
2021-05-26,168.0148162841797,171.03922522423997,166.69830451979408,170.30980243533347,25944614
2021-05-27,166.46702575683594,173.63665172500146,165.80876988493992,172.56921329226577,102988808
2021-05-28,167.7657470703125,170.7545726300787,166.6983085947856,169.01109195842724,29313704
2021-05-31,167.94366455078125,168.4595975247054,166.6271526674519,168.4595975247054,13495562
2021-06-01,167.53448486328125,169.61599223568228,167.26762522216694,168.44180329965133,8869530
2021-06-02,168.88658142089844,169.17123824019643,166.87624081941033,167.2320536996223,12676710
2021-06-03,168.6197052001953,170.2208630038956,168.33505926740045,168.8331950790646,12184524
2021-06-04,170.16748046875,171.7864244497078,168.6730622874463,168.9399219013544,17759466
2021-06-07,171.28831481933594,172.7115663107447,170.34541287798706,171.07482492391517,12523390
2021-06-08,173.4409637451172,174.24154259146823,169.4558558109737,172.142238263089,15198964
2021-06-09,172.58702087402344,175.73596681065257,171.3238895829262,175.0599245582548,18980362
2021-06-10,172.05331420898438,173.45877943190285,171.76866824769456,173.01401333079542,7388634
2021-06-11,172.0710906982422,174.17038427158374,171.39504847747745,172.81829983005423,7438508
2021-06-14,172.10665893554688,172.56921124081555,169.3668959806767,172.1956121372174,7237652
2021-06-15,171.4662322998047,173.3698334638832,171.07483594274822,172.56925444840093,6507360
2021-06-16,171.2349090576172,172.53362359876078,170.45211655850727,172.0177015567271,7994924
2021-06-17,169.6871337890625,171.822010735518,169.47364392270782,170.06074376981962,6651076
2021-06-18,168.0681915283203,170.82574094615399,166.07563751920875,170.79015749163406,10583776
2021-06-21,169.02890014648438,169.29575979992597,166.69833018318,167.8369357146163,5397088
2021-06-22,168.53076171875,170.34540950608556,168.2283186111029,169.90064342382425,5553420
2021-06-23,167.08970642089844,169.01109352292357,166.92958630466893,168.65528069445426,4927558
2021-06-24,165.84434509277344,167.40991921124404,165.48853229955083,167.0541064180214,8462210
2021-06-25,167.2498321533203,167.97925503866077,165.87996131561266,166.66274310022462,5904240
2021-06-28,166.21795654296875,167.94365089013795,166.00446667945016,167.58783807045546,4334320
2021-06-29,165.89773559570312,167.05412731835415,165.45296954852967,166.87622089948476,5921594
2021-06-30,166.5559844970703,167.46330285164325,165.80877539760374,166.1645882203454,5924634
2021-07-01,164.65240478515625,166.84065175321717,164.38554513396477,166.5560058020317,5757026
2021-07-02,164.65240478515625,165.66647363139336,164.0475185657034,164.7413580022201,4769492
2021-07-05,163.5671844482422,166.3425205547202,163.14020465099296,165.43520205874975,11190174
2021-07-06,162.9800567626953,164.7413345532814,162.81994750989824,163.67389610045237,7749392
2021-07-07,163.85182189941406,164.17205130144947,160.98753272211553,162.9800760496901,6000580
2021-07-08,163.033447265625,165.59529319274935,162.44634739410535,163.7272757869406,6426778
2021-07-09,162.57089233398438,163.14019507739235,161.2899638759531,162.28624639155373,7058662
2021-07-12,160.47157287597656,163.42481477395683,160.13354637239854,162.8199395287974,7393710
2021-07-13,160.20472717285156,161.89483812026089,160.0268207573348,161.0942592504354,7409874
2021-07-14,159.6532440185547,161.2188185229553,159.47533757808765,160.4716093012842,4936524
2021-07-15,159.06614685058594,160.382658876407,158.35452107631457,159.8667258466412,6617550
2021-07-16,159.40414428710938,160.48936905100294,158.62135173513838,159.77774340686406,6726604
2021-07-19,161.50344848632812,163.31809617104906,158.40788324396544,158.69252917709778,14737948
2021-07-20,161.46786499023438,162.96228328517634,159.75996767476894,162.53530352703683,7689016
2021-07-22,163.994140625,165.07937633416122,161.18322127773772,161.87706067963663,13532496
2021-07-23,164.15426635742188,165.73762708110687,163.42484347385178,165.38181421845223,6954808
2021-07-26,162.25064086914062,164.58121042417181,161.93041151281847,164.34993427008055,5177476
2021-07-27,161.2899627685547,163.81623620983166,160.91636361436122,162.25066182011878,4635256
2021-07-28,161.3433380126953,162.0727499974762,160.2225188703324,161.39670776743966,4411220
2021-07-29,159.79554748535156,161.5923979712226,159.58205761115252,160.82740254234324,5979220
2021-07-30,158.5146026611328,161.61017836965036,158.30111280907212,159.83111436671956,13531870
2021-08-02,162.89112854003906,163.63833774332397,158.87044742783738,159.4219530362957,9965680
2021-08-03,164.8836669921875,165.43518340633122,162.42856058118008,163.92297884451298,7855132
2021-08-04,162.6598358154297,165.45296874990612,162.2862366810257,164.74134307786352,5192276
2021-08-05,161.36114501953125,163.1757929235442,160.5249825594074,162.28626070182685,7099910
2021-08-06,162.1083221435547,164.7413348265244,161.53901946272586,161.53901946272586,8118604
2021-08-09,161.00531005859375,163.31809351799896,160.36485129017692,162.78437425813624,4555246
2021-08-10,158.22998046875,161.85926506331035,157.5361410602439,161.71694209346325,7098198
2021-08-11,160.11578369140625,160.66728926959138,156.75334789046812,158.69253228081598,10635072
2021-08-12,159.45751953125,162.03716258010965,157.30485622699928,160.82740111511225,12567714
2021-08-13,161.85926818847656,163.26473333190128,159.51090113574452,160.11578734245694,14232032
2021-08-16,165.09718322753906,166.3781118208416,161.91265347488184,163.1402123056609,17964436
2021-08-17,165.45297241210938,167.14308342062017,164.02972103652132,165.75541550113107,14363500
2021-08-18,164.91925048828125,166.14680912336004,164.04750469136488,166.14680912336004,7947234
2021-08-20,161.96600341796875,165.63087119772237,161.1832108540671,164.31435939258213,12114818
2021-08-23,160.72064208984375,163.54934726407734,159.43971387012257,163.21133162764534,7925892
2021-08-24,162.39297485351562,163.40704359954972,161.12984363944156,161.18321339269684,7248688
2021-08-25,163.92300415039062,165.239505339377,162.6954453261075,162.96230499586053,9704266
2021-08-26,166.07565307617188,167.73018071014906,163.17578042716178,163.88740615003772,14847298
2021-08-27,167.694580078125,168.54853954495667,165.8621462010946,166.89400122187956,12536762
2021-08-30,168.13934326171875,168.97550555801163,167.8013275988228,168.97550555801163,9029840
2021-08-31,167.81912231445312,169.31354057251562,166.64494429636548,168.29947181586937,18002472
2021-09-01,169.72271728515625,170.57666589224036,168.01482007098804,168.3884191932918,10439002
2021-09-02,170.71896362304688,171.34163597390415,169.7226922050929,170.07850497701133,8362628
2021-09-03,174.8108367919922,175.77153576408054,170.86132311651843,171.85759468431357,16372070
2021-09-06,174.63296508789062,176.6611029393751,174.34831911438832,176.46541018991076,13979558
2021-09-07,171.48399353027344,175.59362727194326,171.14596700669645,174.5973557159462,13420280
2021-09-08,174.18817138671875,175.41573002748981,171.46620533386348,172.21341446917864,13609662
2021-09-09,174.75746154785156,175.05990461167428,173.54770015110597,174.31269553003733,9084984
2021-09-13,177.23036193847656,177.63954449620294,174.88199523261642,175.7715272531282,21460684
2021-09-14,175.45130920410156,178.97385406062335,174.52619367144285,178.26222839835447,24182782
2021-09-15,174.3305206298828,176.10958498631166,173.6722646462947,175.77155841517134,22748506
2021-09-16,177.1959686279297,178.4067371523886,175.78340534939431,176.57040981692234,34750954
2021-09-17,176.06593322753906,178.38657303512267,174.39103913407632,177.98298350336898,24016408
2021-09-20,169.66905212402344,175.01661390633132,169.08385463967886,173.9672785649783,14744276
2021-09-21,167.0053253173828,171.08158161217298,166.60173582911793,169.4672236591134,22963476
2021-09-22,169.56814575195312,170.1129941038571,167.28786727413706,167.28786727413706,9640070
2021-09-23,169.4874267578125,171.24303134666624,168.35736869248402,170.77890585402014,11769116
2021-09-24,167.408935546875,170.81927207186845,166.2990643166384,169.9111956107658,12674828
2021-09-27,169.749755859375,170.5165734898606,168.11521090106578,168.88204084812617,9778866
2021-09-28,173.38206481933594,173.64439555092648,170.7183714539033,171.24303291708432,18266942
2021-09-29,176.32827758789062,176.77222857044669,171.92915381509198,173.34171728540375,15251714
2021-09-30,174.43141174316406,177.74083872595241,173.94709934735315,177.49868252804694,8934732
2021-10-01,174.77444458007812,176.6107843687198,173.13991187709925,174.31031907449187,5489980
2021-10-04,175.9044952392578,176.7722102463301,174.95605740133357,175.1578521618887,5362228
2021-10-05,179.13320922851562,179.79912946693008,175.84395713480365,175.90449309891866,18020292
2021-10-06,180.48526000976562,182.40231046067103,179.657894004166,180.4045371694128,16248822
2021-10-07,181.29244995117188,182.42249588399952,180.80813751334466,182.22070108766766,7445114
2021-10-08,181.39332580566406,182.42247421809617,179.435914050407,182.220679445731,6019304
2021-10-11,183.39108276367188,183.69377491578507,181.4134964998473,181.61529126792277,11833332
2021-10-12,183.734130859375,184.52113535805498,182.05923679755782,183.37090275097455,10923204
2021-10-13,185.10633850097656,185.81262019003688,182.94713201682,184.4404182288919,14072722
2021-10-14,185.36865234375,186.53907174650655,184.843990920605,185.65116992025827,7894780
2021-10-18,186.66015625,189.6870777027027,186.07494650918085,189.6870777027027,8784646
2021-10-19,182.8462371826172,187.66913713894718,181.59511945495117,187.22518617917436,10805314
2021-10-20,178.0233612060547,182.78571318979448,176.1063107548463,182.4224850413018,13086926
2021-10-21,182.03907775878906,183.2296719635973,178.81036107220584,179.69826308764692,19775152
2021-10-22,180.50543212890625,182.82607211714821,178.58838170383683,182.01889299080318,7829992
2021-10-25,174.22959899902344,180.96953652686645,173.48295593104342,180.4045136677321,14550354
2021-10-26,173.96726989746094,176.34845808609347,172.7565012523565,173.94709534667277,9945226
2021-10-27,172.615234375,175.35963805311414,172.332716797882,174.93587400401128,6737796
2021-10-28,169.8304901123047,173.9471087494798,169.12420834824067,173.1399295905495,7242482
2021-10-29,168.57937622070312,171.52557529322664,166.9246564427943,169.1040377596752,12075018
2021-11-01,170.17352294921875,172.73631892935953,169.46724127135337,172.73631892935953,11652400
2021-11-02,167.95379638671875,171.0816155410808,167.7318270507816,170.71838739292173,8099346
2021-11-03,167.44927978515625,170.1331474759806,167.16677452729652,168.70040968874645,10516486
2021-11-04,169.4066925048828,169.6084872547397,168.74077229366978,169.44705391816902,1975024
2021-11-08,174.24977111816406,174.65336062857094,170.09280408760313,171.12195241251086,11870418
2021-11-09,173.7453155517578,174.65339211387501,172.33275201068662,174.6332175613475,5867180
2021-11-10,174.04798889160156,175.15786012511322,173.60403793488183,174.35068104619566,6565108
2021-11-11,173.66006469726562,174.45630089701447,172.33301267171782,173.92548507121552,6633538
2021-11-12,174.64004516601562,175.57918465767156,174.0888056987176,174.76253728717077,4288924
2021-11-15,174.0888214111328,175.59961170628594,173.39466609913606,174.72171819597315,3839888
2021-11-16,171.45510864257812,174.17045858915444,170.74054221131857,173.94588555232127,5533442
2021-11-17,168.96435546875,171.80221039311627,168.31104746580507,171.7001294600247,7538798
2021-11-18,165.49359130859375,169.71974411324572,165.37109918250837,168.84185064683263,9990796
2021-11-22,161.53285217285156,166.55522851065578,160.51204296101739,165.7794160018718,10565788
2021-11-23,162.34950256347656,163.86029274847544,160.8999459790673,161.2878584712029,6765412
2021-11-24,164.69737243652344,167.12689105675338,162.83949206229377,163.7786440805678,8482816
2021-11-25,163.3703155517578,165.12610248474843,162.5128332859285,164.96277549626913,6323818
2021-11-26,153.8767852783203,162.18617487334936,153.12138395858128,162.16575121219145,20046662
2021-11-29,150.03854370117188,155.1630009861633,149.8547930576893,154.7546772993576,15037552
2021-11-30,151.0797882080078,154.9588638511864,150.26314070418076,151.0797882080078,18393470
2021-12-01,150.5693817138672,153.50931767683664,149.3648216757355,152.2026767019498,13057566
2021-12-02,154.69345092773438,155.14260953259898,150.6918708110925,151.07978334735094,12449776
2021-12-03,157.57212829589844,158.5929376428025,155.6938366053847,156.18383007631925,17313246
2021-12-06,156.57174682617188,159.001265660555,155.57134865486287,158.16420695798766,8919812
2021-12-07,158.34793090820312,158.73584341995195,157.30671042453116,157.57211834575628,7275406
2021-12-08,159.71580505371094,160.16496359424127,158.89915769312844,159.04207347344033,7187328
2021-12-09,160.7774658203125,163.94197467137897,160.18539143795059,160.98162768167163,12970082
2021-12-10,162.08409118652344,162.4719912093065,159.65456028472718,160.6753694937088,4565918
2021-12-13,160.20579528808594,163.53363072447647,159.674967037569,162.9007340169539,5199416
2021-12-14,159.9199676513672,160.45079591489014,158.87874724611237,160.45079591489014,6582798
2021-12-15,156.91879272460938,160.22621718258355,156.42881176186717,159.65456649552576,11115184
2021-12-16,159.67498779296875,160.06290031642138,156.98006117484954,157.8171198272879,7909366
2021-12-17,157.08212280273438,161.1041010338177,156.0204787552148,160.47120432180296,16049722
2021-12-20,146.99652099609375,155.51007199599408,146.58819732666015,155.51007199599408,22510560
2021-12-21,148.7115020751953,149.4056449144745,145.93489333492593,148.79315934161298,12855558
2021-12-22,152.08018493652344,152.63141202751638,149.11983776333847,149.4464917773381,10045244
2021-12-23,154.08096313476562,154.4484520022434,151.89642867107614,153.0397301390185,10693866
2021-12-24,151.9576416015625,154.83633076799717,151.2022403680563,154.83633076799717,6287570
2021-12-27,152.87640380859375,153.1826466096771,150.0589725308373,151.46769440024127,4632660
2021-12-28,155.32632446289062,155.73464814048026,153.1213790961165,153.4480330537683,6449486
2021-12-29,155.61216735839844,156.32673384623845,153.99928372999645,155.57133249545458,8260658
2021-12-30,154.3259735107422,157.32714324468748,153.52973717660208,156.79632732929576,12171414
2021-12-31,157.3883819580078,158.18460573082203,153.73387970049467,153.73387970049467,7780656
2022-01-03,157.65377807617188,158.02126690233942,156.79629584108096,156.79629584108096,6468384
2022-01-04,157.59255981445312,160.77748015112113,157.1025663190955,158.42961853621586,11799296
2022-01-05,161.16539001464844,161.90036778435586,156.57174780134704,157.18423342978724,13483996
2022-01-06,161.61451721191406,161.96159485285304,159.4912414257325,161.69618693721165,8237148
2022-01-07,161.77784729003906,164.5136084743068,161.28785388874192,162.5128249309349,11914426
2022-01-10,162.32908630371094,163.20699225109382,161.5328625439891,162.9211606690086,4179728
2022-01-11,159.71580505371094,162.839478715729,159.30748137341968,162.839478715729,6854016
2022-01-12,158.7154083251953,161.67575479862114,157.83750250561607,161.0836805195164,9246820
2022-01-13,161.0836944580078,162.32907671844694,158.12334772842465,159.32790758901987,8491424
2022-01-14,162.6966094970703,163.3090951458819,160.26707810569675,161.28788752038272,6915504
2022-01-17,163.5540313720703,165.1260799009109,162.7578077392372,163.73778199713496,9671610
2022-01-18,162.55364990234375,166.1468930897633,161.8390835045348,164.06443995251033,13220496
2022-01-19,161.0224609375,163.94197303355867,160.47122142512717,161.69619258104416,10347976
2022-01-20,160.4916229248047,162.32907954760464,159.3279103658716,161.2878591124381,6495234
2022-01-21,155.857177734375,161.7166134793451,155.16302238664562,160.79788505731892,10310538
2022-01-24,152.3455810546875,156.73506100522792,151.12060990569947,155.73466291580067,10668074
2022-01-25,156.20425415039062,156.71465886590104,150.26314824627028,151.93727820535503,9905300
2022-01-27,156.0613555908203,157.3067381504847,153.12141935478718,157.20465720424818,11474790
2022-01-28,156.18382263183594,160.67538354412403,155.7142528468524,157.1842207285387,8089918
2022-01-31,162.1249237060547,163.2478139060265,158.40918792226125,159.24624654145632,13928184
2022-02-01,154.69345092773438,161.28787681676653,153.52972578001066,161.28787681676653,25515398
2022-02-02,156.02049255371094,157.44962554302066,154.8976023478247,157.2046288240717,11701576
2022-02-03,153.95843505859375,157.1637783659148,153.7338620241204,156.79628955448138,10658294
2022-02-04,153.38677978515625,155.1629901913992,152.73345943950895,153.9992652727539,8957710
2022-02-07,152.08018493652344,154.5097037606441,151.1206216364531,154.34637675364428,8189026
2022-02-08,154.10134887695312,154.5505074012406,151.3451641346589,152.8763778803779,6909612
2022-02-09,153.3663787841797,155.9796478794793,152.99888995939614,155.16300050838254,9292356
2022-02-10,152.9732666015625,154.56652514292654,152.49736148639474,154.23546400955053,12283058
2022-02-11,152.93186950683594,154.98034642716814,151.04893577013718,152.9732553027443,11262552
2022-02-14,149.68328857421875,151.40069170671617,149.2073708788138,151.04893139544046,10196386
2022-02-15,152.66287231445312,153.01463261641703,147.57273542918597,149.82811594569137,11049572
2022-02-16,154.81480407714844,156.59427950308142,153.24223235664945,153.5319202767645,10889816
2022-02-17,154.3595733642578,156.11836206881034,153.5319080915272,155.58038469320337,5224320
2022-02-18,154.42166137695312,155.5804004536593,153.7181534013679,153.7181534013679,4420434
2022-02-21,152.60079956054688,154.35958843683792,151.0696136048133,154.35958843683792,6207542
2022-02-22,147.03472900390625,150.82130768762056,144.5517332134941,148.9797474247303,14106162
2022-02-23,147.77963256835938,149.31080569978334,147.4071857325627,148.358995716173,5636142
2022-02-24,137.82696533203125,145.66909945972753,137.01999920514035,144.42760145296847,14094970
2022-02-25,139.19261169433594,141.32384727528887,137.45450954587082,140.70309831214703,11679020
2022-02-28,144.75868225097656,145.3794313388953,137.39246479267678,138.7788069481964,19146282
2022-03-02,141.57215881347656,147.61411831621683,140.6203360957765,143.39302003410725,15469204
2022-03-03,143.35162353515625,146.49675411544612,142.0894390386544,143.76545617390045,12825706
2022-03-04,144.15859985351562,145.46217011821477,141.94459274693503,143.99306932658345,15557860
2022-03-07,139.8754425048828,143.59993653607793,137.3096748983912,143.59993653607793,19936000
2022-03-08,141.365234375,141.94459755346585,137.68212635207064,139.79266274296975,12880560
2022-03-09,141.79977416992188,143.8689376997009,139.75130985294382,142.5653672017745,13563906
2022-03-10,144.42759704589844,146.4967603273583,142.97918274887653,145.66909501477434,18109208
2022-03-11,149.80743408203125,150.51095470811822,144.94489996472777,145.2552744828535,16557604
2022-03-14,148.8349151611328,149.39359178366485,145.81394176399013,148.89698753493178,16449824
2022-03-15,144.96556091308594,149.60049128249625,144.0551367317452,149.41426155288354,12130866
2022-03-16,147.44857788085938,148.02795373245763,144.90350944111668,146.289851436005,9444984
2022-03-17,150.71786499023438,151.5455303386065,148.09002498331864,148.81423216314425,22827672
2022-03-21,147.82101440429688,152.00071369195138,147.44855494928922,148.97974066894324,12369650
2022-03-22,152.4559783935547,152.99396853130602,147.6141429288303,148.50388079109746,14934378
2022-03-23,151.7110595703125,153.78022292334683,151.04892477150733,153.4905350022537,12475458
2022-03-24,150.05572509765625,152.20764735295447,149.31081873187682,151.46275361634557,9696758
2022-03-25,149.10391235351562,150.86270127655763,148.19348801791435,149.80743297440097,7259104
2022-03-28,148.85560607910156,150.15917637294066,147.44856499580098,148.9797508197834,11624382
2022-03-29,148.3383331298828,149.97296468171163,148.13141678439777,149.8074341311579,11417328
2022-03-30,149.0004425048828,149.97295177077493,148.64869485117686,149.1866722514557,8247132
