Date,Close,High,Low,Open,Volume
2021-05-24,761.4424438476562,766.5034992813909,757.279345729583,760.3812668590155,4191877
2021-05-25,767.8095703125,770.4217328273297,763.3607878586255,765.6872162945572,5032874
2021-05-26,772.0543212890625,774.6256788619444,761.2383772320625,767.319804798494,5017674
2021-05-27,769.2789306640625,781.1152466717624,765.7688108862537,774.6664752625633,9078274
2021-05-28,769.4013061523438,775.2786589380291,765.1974033337301,767.3605621172345,4098094
2021-05-31,771.5646362304688,773.7277953545315,761.2792547805208,768.5851295409876,4171524
2021-06-01,776.05419921875,777.1153762175012,768.9932044951946,773.8501855611252,2944472
2021-06-02,770.3807373046875,776.0540146856987,765.3604879351009,773.0337040821605,3657189
2021-06-03,766.8707885742188,775.3194487862351,764.8708494941089,771.4012302795442,4164240
2021-06-04,764.5034790039062,770.7481753417898,763.0341533428895,767.4013254120213,3550303
2021-06-07,775.1563720703125,777.0747017968012,764.9526495555766,766.503635306962,3282517
2021-06-08,789.5231323242188,793.4413512547326,776.6664437622209,777.1153975252113,6385642
2021-06-09,792.8699340820312,804.0532223678613,787.8088784538246,794.9923379637215,5521459
2021-06-10,790.6250610351562,801.318589901659,788.9924657721348,799.5635300647696,3878256
2021-06-11,802.706298828125,808.1346982963287,792.2168936329161,796.7065308456735,4777035
2021-06-14,803.400146484375,806.8694114510578,796.7064958782046,802.4205793527408,2236373
2021-06-15,804.4205932617188,810.5836310457831,802.5839234028537,804.1348591677357,2559001
2021-06-16,799.4819946289062,804.8695395690895,795.0739670794048,803.2777490749442,3138753
2021-06-17,805.1961059570312,807.277655217288,798.7881388417836,799.9717805224346,3609989
2021-06-18,796.09423828125,813.603831851186,791.8902856916136,808.1346279399513,5622783
2021-06-21,801.6043090820312,802.7879506638824,784.6661324899212,790.1761417427763,1639495
2021-06-22,800.05322265625,806.6652628192604,796.9104969635616,801.6858177844724,2529648
2021-06-23,794.1760864257812,804.0532690915693,792.6251007999125,804.0532690915693,2395543
2021-06-24,807.889892578125,811.8897216566289,791.0741290460949,793.441412448594,4686567
2021-06-25,812.7467651367188,824.4606163407351,807.5224403119527,812.2161517416152,5196000
2021-06-28,804.2979736328125,816.2975576955063,803.4000662484871,816.2975576955063,1844159
2021-06-29,802.9103393554688,811.318244911832,800.3798365987806,805.6449663451587,1895170
2021-06-30,802.8287353515625,809.3183116059604,800.7879912352646,800.7879912352646,2682591
2021-07-01,804.4613647460938,806.5021089488997,796.0127036756198,805.6858112677774,2861509
2021-07-02,803.7673950195312,806.1754329112316,797.7267732768859,802.8694378292201,1646631
2021-07-05,799.7676391601562,812.9508664099787,798.3391182430546,809.5224062443639,2598033
2021-07-06,793.4821166992188,801.7675577338977,791.9719859835088,799.9716929484222,2486069
2021-07-07,796.1759033203125,798.0125730566239,783.8906334931121,791.8087307653366,3014899
2021-07-08,797.3594970703125,801.6042546153308,791.8086832758358,795.8901713339587,2555624
2021-07-09,797.4003295898438,799.5635382646733,789.0332787810506,793.4413059655564,3218471
2021-07-12,799.5227661132812,802.4614178081475,795.8902315023659,799.9717198690447,2037878
2021-07-13,790.13525390625,802.4205225421472,786.9108684950456,802.4205225421472,2997764
2021-07-14,807.6857299804688,810.5427717916322,790.2577450386588,790.3802096168507,4371180
2021-07-15,848.7454223632812,859.1532166745405,808.7876452194058,810.5835098886639,12701032
2021-07-16,820.3790893554688,856.0921094144754,814.7058110615247,852.9493835784235,8665827
2021-07-19,816.4609375,831.2359053616908,810.1754354918147,820.3791563418376,4644600
2021-07-20,797.6861572265625,826.2565779737685,791.2781901081162,815.4814378988217,10216774
2021-07-22,798.8289184570312,801.1962017433378,791.8087780856216,791.8087780856216,6156400
2021-07-23,811.39990234375,819.4812693887914,802.0940887659968,803.8083438055077,5265839
2021-07-26,816.5426025390625,819.562914079425,805.8899272160481,811.3999368475581,2477027
2021-07-27,814.6536254882812,823.0301143234452,807.960634624638,821.2234127906061,2883514
2021-07-28,807.3447875976562,817.8975394480424,802.5817014120498,817.1173671130327,2952249
2021-07-29,827.46484375,828.6145767899941,809.3568741728985,809.3568741728985,4732101
2021-07-30,841.7130126953125,862.2436008409322,829.3536587798569,831.8994316605113,9330054
2021-08-02,850.2947998046875,853.251184243522,840.1526598890002,849.1450668987504,2536478
2021-08-03,853.6207275390625,856.4950097909579,840.9328645545,845.860205557749,3359006
2021-08-04,854.0313110351562,860.4368942262658,849.6377855020133,854.975738078936,3122161
2021-08-05,871.4413452148438,881.1728237313471,848.8986997810593,854.0724479781929,7896314
2021-08-06,862.2435913085938,878.7091629181543,856.536127966014,871.441354844355,11584782
2021-08-09,862.736328125,876.04010780253,856.9466627531662,868.6901980866296,6321578
2021-08-10,873.535400390625,880.598002716849,860.6422314871876,864.3377372521612,5871606
2021-08-11,876.2044067382812,886.1001903905678,868.1564762786786,879.4893008639182,5011239
