Price,Close,High,Low,Open,Volume
Ticker,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS
Date,,,,,
2021-05-24,2708.87548828125,2729.533795590875,2700.5242576667206,2708.87548828125,1652260
2021-05-25,2750.835693359375,2763.4238143068287,2722.6560562425266,2731.4014013703236,1841613
2021-05-26,2790.14599609375,2795.887946061966,2741.825321802558,2756.135984743549,1923753
2021-05-27,2809.138916015625,2842.4863984305903,2793.061497428676,2793.193917714031,5959785
2021-05-28,2776.98388671875,2825.0395068850357,2769.960867380018,2817.530802754791,1763701
2021-05-31,2790.719970703125,2800.613964245875,2763.732979684042,2782.637158557445,1652799
2021-06-01,2785.2880859375,2800.2612851307276,2766.7371662404853,2799.0688554082944,1377441
2021-06-02,2764.48388671875,2790.9851945829346,2751.7191332311404,2783.388282396119,2240078
2021-06-03,2774.907958984375,2786.656916039065,2758.477060767355,2786.656916039065,1281706
2021-06-04,2777.1162109375,2788.688534934649,2760.552893576044,2763.203024353877,1836060
2021-06-07,2811.965576171875,2818.370059314613,2768.1502071066175,2778.2206184706743,2559821
2021-06-08,2826.938720703125,2854.190986460442,2815.499032089733,2825.039546487309,2574057
2021-06-09,2827.027099609375,2844.473794466741,2814.615610260748,2828.573009280281,1710925
2021-06-10,2841.64697265625,2848.007243465834,2820.622558432509,2835.63996635401,1874324
2021-06-11,2891.9990234375,2923.093843797879,2836.5229170247776,2837.0088174005045,3452954
2021-06-14,2894.25244140625,2922.8295591519113,2888.952179184316,2896.593304286982,1847360
2021-06-15,2882.238525390625,2913.377567002768,2872.3447453737463,2913.377567002768,1304985
2021-06-16,2892.485595703125,2910.4621884354497,2873.62541029358,2881.6642273428124,1635552
2021-06-17,2930.823974609375,2946.9898164726833,2879.80895402805,2884.6675274167474,2273413
2021-06-18,2912.759033203125,2966.3799741161924,2893.059682915584,2960.1079111317467,3380431
2021-06-21,2891.3818359375,2902.777314905221,2872.4774355265163,2884.2263947551874,1130569
2021-06-22,2916.204345703125,2939.0397292718317,2901.8936802765033,2918.677844637311,1708688
2021-06-23,2881.045654296875,2940.7620256141804,2876.628769307968,2940.7620256141804,1467104
2021-06-24,2980.1611328125,2988.464791457915,2896.151882587873,2901.010456738928,4155204
2021-06-25,2986.52099609375,3003.17252309465,2959.312941438819,2981.618210624291,2722861
2021-06-28,2947.60888671875,2995.973788658617,2944.2962222023207,2995.973788658617,1355238
2021-06-29,2951.22998046875,2973.7118807948364,2938.553434922606,2952.245777697685,1497322
2021-06-30,2955.558837890625,2987.5812567424623,2949.1543541202577,2955.779682158569,1693146
2021-07-01,2951.803955078125,2969.9131817963957,2943.721142590661,2966.37967414405,990310
2021-07-02,2937.626220703125,2950.21434389237,2910.9040644592897,2942.529006552582,1682274
2021-07-05,2933.69482421875,2980.513802142145,2916.910662321684,2952.245739999718,1972858
2021-07-06,2881.841064453125,2939.878894936464,2876.3641697416374,2926.628238859527,2159420
2021-07-07,2893.015625,2899.8617971333256,2863.555129801397,2893.0598369861177,2640710
2021-07-08,2878.48388671875,2913.377277397096,2854.985972804783,2913.377277397096,2485811
2021-07-09,2834.005859375,2899.2433376238587,2827.68980004082,2870.9752733935225,6365067
